/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakucho Setouchi.txt	22490	Setouchi	was born in	Tokushima	0	1	1	4	4	5	0.9999999999880935	Setouchi was born in Tokushima .	NNP VBD VBN IN NNP .	B-NP B-VP I-VP B-PP B-NP O	setouchi	bear in	tokushima
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakucho Setouchi.txt	22491	She	attended	Tokyo Woman 's Christian University	0	1	1	2	2	7	0.6590306934813647	She attended Tokyo Woman 's Christian University and graduated with a degree in Japanese Literature .	PRP VBD NNP NNP POS NNP NNP CC VBN IN DT NN IN JJ NN .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP O B-VP B-PP B-NP I-NP B-PP B-NP I-NP O	she	attend	tokyo woman 's christian university
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakucho Setouchi.txt	22492	she	left	her house	12	13	13	14	14	16	0.3185182493718135	After a love affair with one of her husband 's students , she left her house and got an official divorce to leave for Tōkyō and pursue a writing career .	IN DT NN NN IN CD IN PRP$ NN POS NNS , PRP VBD PRP$ NN CC VBD DT JJ NN TO VB IN NNP CC VB DT NN NN .	B-PP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O B-NP B-VP B-NP I-NP O B-VP B-NP I-NP I-NP B-VP I-VP B-PP B-NP O B-VP B-NP I-NP I-NP O	she	leave	her house
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakucho Setouchi.txt	22492	she	got	an official divorce	12	13	17	18	18	21	0.0352981632802732	After a love affair with one of her husband 's students , she left her house and got an official divorce to leave for Tōkyō and pursue a writing career .	IN DT NN NN IN CD IN PRP$ NN POS NNS , PRP VBD PRP$ NN CC VBD DT JJ NN TO VB IN NNP CC VB DT NN NN .	B-PP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O B-NP B-VP B-NP I-NP O B-VP B-NP I-NP I-NP B-VP I-VP B-PP B-NP O B-VP B-NP I-NP I-NP O	she	get	an official divorce
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakucho Setouchi.txt	22492	an official divorce	pursue	a writing career	18	21	26	27	27	30	0.4500448465588863	After a love affair with one of her husband 's students , she left her house and got an official divorce to leave for Tōkyō and pursue a writing career .	IN DT NN NN IN CD IN PRP$ NN POS NNS , PRP VBD PRP$ NN CC VBD DT JJ NN TO VB IN NNP CC VB DT NN NN .	B-PP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O B-NP B-VP B-NP I-NP O B-VP B-NP I-NP I-NP B-VP I-VP B-PP B-NP O B-VP B-NP I-NP I-NP O	an official divorce	pursue	a writing career
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakucho Setouchi.txt	22493	Kashin	was criticized as	pornography	7	8	8	11	11	12	0.9337900570977381	Setouchi 's first literary award reception for Kashin was criticized as pornography .	NNP POS JJ JJ NN NN IN NNP VBD VBN IN NN .	B-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP B-VP I-VP B-PP B-NP O	kashin	criticize as	pornography
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakucho Setouchi.txt	22494	she	proved	herself	13	14	14	15	15	16	0.017141052868828527	Upon being awarded the Women 's Literary Prize for Natsu no Owari , she proved herself as a writer .	IN VBG VBN DT NNS POS NNP NNP IN NNP DT NNP , PRP VBD PRP IN DT NN .	B-PP B-VP I-VP B-NP I-NP I-NP I-NP I-NP B-PP B-NP B-NP I-NP O B-NP B-VP B-NP B-PP B-NP I-NP O	she	prove	herself
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakucho Setouchi.txt	22495	She	has also received one of	Japan 's more prestigious literary awards	0	1	1	6	6	12	0.7579292489831729	She has also received one of Japan 's more prestigious literary awards , the Tanizaki Prize for her novel Hana ni Toe in 1992 .	PRP VBZ RB VBN CD IN NNP POS JJR JJ JJ NNS , DT NNP NNP IN PRP$ NN NNP NNP NNP IN CD .	B-NP B-VP I-VP I-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP O	she	receive one of	japan 's more prestigious literary awards
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakucho Setouchi.txt	22496	she	took up	Buddhist vows	2	3	3	5	5	7	0.31836481757136637	In 1973 she took up Buddhist vows and became a Buddhist nun at Chūsonji Temple in Hiraizumi , Iwate prefecture and received her name Jakuchō .	IN CD PRP VBD RP NNP NNS CC VBD DT NNP NN IN NNP NNP IN NNP , NNP NN CC VBD PRP$ NN NNP .	B-PP B-NP B-NP B-VP B-PRT B-NP I-NP O B-VP B-NP I-NP I-NP B-PP B-NP I-NP B-PP B-NP O B-NP I-NP O B-VP B-NP I-NP B-NP O	she	take up	buddhist vows
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakucho Setouchi.txt	22496	she	became	a Buddhist nun	2	3	8	9	9	12	0.30812812006118534	In 1973 she took up Buddhist vows and became a Buddhist nun at Chūsonji Temple in Hiraizumi , Iwate prefecture and received her name Jakuchō .	IN CD PRP VBD RP NNP NNS CC VBD DT NNP NN IN NNP NNP IN NNP , NNP NN CC VBD PRP$ NN NNP .	B-PP B-NP B-NP B-VP B-PRT B-NP I-NP O B-VP B-NP I-NP I-NP B-PP B-NP I-NP B-PP B-NP O B-NP I-NP O B-VP B-NP I-NP B-NP O	she	become	a buddhist nun
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakucho Setouchi.txt	22496	Hiraizumi	received	her name	16	17	21	22	22	24	0.7997398099244134	In 1973 she took up Buddhist vows and became a Buddhist nun at Chūsonji Temple in Hiraizumi , Iwate prefecture and received her name Jakuchō .	IN CD PRP VBD RP NNP NNS CC VBD DT NNP NN IN NNP NNP IN NNP , NNP NN CC VBD PRP$ NN NNP .	B-PP B-NP B-NP B-VP B-PRT B-NP I-NP O B-VP B-NP I-NP I-NP B-PP B-NP I-NP B-PP B-NP O B-NP I-NP O B-VP B-NP I-NP B-NP O	hiraizumi	receive	her name
