/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1033	Jacqueline Bisset	is	an English actress	0	2	2	3	3	6	0.9999999998901186	Jacqueline Bisset is an English actress .	NNP NNP VBZ DT JJ NN .	B-NP I-NP B-VP B-NP I-NP I-NP O	jacqueline bisset	be	an english actress
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1034	She	has been nominated for	four Golden Globe Awards	0	1	1	5	5	9	0.889116808312543	She has been nominated for four Golden Globe Awards and an Emmy Award .	PRP VBZ VBN VBN IN CD NNP NNP NNP CC DT NNP NNP .	B-NP B-VP I-VP I-VP B-PP B-NP I-NP I-NP I-NP O B-NP I-NP I-NP O	she	nominate for	# golden globe awards
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1035	She	is known for	her roles	0	1	1	4	4	6	0.6950805890299009	She is known for her roles in the films Bullitt , and the TV series Nip/Tuck in 2006 .	PRP VBZ VBN IN PRP$ NNS IN DT NNS NNP , CC DT NN NN NNP IN CD .	B-NP B-VP I-VP B-PP B-NP I-NP B-PP B-NP I-NP I-NP O O B-NP I-NP I-NP I-NP B-PP B-NP O	she	know for	her roles
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1036	She	has also appeared in	several French productions	0	1	1	5	5	8	0.4482133744687848	She has also appeared in several French productions and was nominated for a César Award for La Cérémonie .	PRP VBZ RB VBN IN JJ JJ NNS CC VBD VBN IN DT NNP NNP IN NNP NNP .	B-NP B-VP I-VP I-VP B-PP B-NP I-NP I-NP O B-VP I-VP B-PP B-NP I-NP I-NP B-PP B-NP I-NP O	she	appear in	several french productions
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1036	She	was nominated for	a César Award	0	1	9	12	12	15	0.9150737937163965	She has also appeared in several French productions and was nominated for a César Award for La Cérémonie .	PRP VBZ RB VBN IN JJ JJ NNS CC VBD VBN IN DT NNP NNP IN NNP NNP .	B-NP B-VP I-VP I-VP B-PP B-NP I-NP I-NP O B-VP I-VP B-PP B-NP I-NP I-NP B-PP B-NP I-NP O	she	nominate for	a césar award
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1037	She	was awarded	the Légion	0	1	1	3	3	5	0.04693648121161673	She was awarded the Légion d 'honneur in 2010 .	PRP VBD VBN DT NN VBD VBN IN CD .	B-NP B-VP I-VP B-NP I-NP B-VP I-VP B-PP B-NP O	she	award	the légion
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1038	Bisset	was born	Winifred Jacqueline Fraser Bisset	0	1	1	3	3	7	0.9572060107074468	Bisset was born Winifred Jacqueline Fraser Bisset in Weybridge , Surrey , England , the daughter of Arlette Alexander , a lawyer turned housewife , and Max Fraser Bisset , a general practitioner .	NNP VBD VBN NNP NNP NNP NNP IN NNP , NNP , NNP , DT NN IN NNP NNP , DT NN VBD NN , CC NNP NNP NNP , DT JJ NN .	B-NP B-VP I-VP B-NP I-NP I-NP I-NP B-PP B-NP O B-NP O B-NP O B-NP I-NP I-NP I-NP I-NP O B-NP I-NP B-VP B-NP O O B-NP I-NP I-NP O B-NP I-NP I-NP O	bisset	bear	winifred jacqueline fraser bisset
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1038	a lawyer	turned	housewife	20	22	22	23	23	24	0.7923768786928799	Bisset was born Winifred Jacqueline Fraser Bisset in Weybridge , Surrey , England , the daughter of Arlette Alexander , a lawyer turned housewife , and Max Fraser Bisset , a general practitioner .	NNP VBD VBN NNP NNP NNP NNP IN NNP , NNP , NNP , DT NN IN NNP NNP , DT NN VBD NN , CC NNP NNP NNP , DT JJ NN .	B-NP B-VP I-VP B-NP I-NP I-NP I-NP B-PP B-NP O B-NP O B-NP O B-NP I-NP I-NP I-NP I-NP O B-NP I-NP B-VP B-NP O O B-NP I-NP I-NP O B-NP I-NP I-NP O	a lawyer	turn	housewife
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1039	She	was brought up in	Reading	0	1	1	5	5	6	0.8732513906025899	She was brought up in Reading , Berkshire , where she lived in the suburb of Tilehurst .	PRP VBD VBN RP IN NNP , NNP , WRB PRP VBD IN DT NN IN NNP .	B-NP B-VP I-VP B-PRT B-PP B-NP O B-NP O B-ADVP B-NP B-VP B-PP B-NP I-NP I-NP I-NP O	she	bring up in	reading
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1039	she	lived in	the suburb of Tilehurst	10	11	11	13	13	17	0.3154520890784229	She was brought up in Reading , Berkshire , where she lived in the suburb of Tilehurst .	PRP VBD VBN RP IN NNP , NNP , WRB PRP VBD IN DT NN IN NNP .	B-NP B-VP I-VP B-PRT B-PP B-NP O B-NP O B-ADVP B-NP B-VP B-PP B-NP I-NP I-NP I-NP O	she	live in	the suburb of tilehurst
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Bisset.txt	1040	Her father	was	Scottish	0	2	2	3	3	4	0.9344488438686924	Her father was Scottish and her mother was of French and English descent ; Bisset 's mother cycled from Paris and boarded a British troop transport to escape the Germans during World War II .	PRP$ NN VBD NNP CC PRP$ NN VBD IN NNP CC NNP NN : NNP POS NN VBD IN NNP CC VBD DT JJ NN NN TO VB DT NNPS IN NNP NNP NNP .	B-NP I-NP B-VP B-NP O B-NP I-NP B-VP B-PP B-NP I-NP I-NP I-NP O B-NP I-NP I-NP B-VP B-PP B-NP O B-VP B-NP I-NP I-NP I-NP B-VP I-VP B-NP I-NP B-PP B-NP I-NP I-NP O	her father	be	scottish
