/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline McKenzie.txt	1574	Jacqueline Susan McKenzie	is	an Australian actress	0	3	3	4	4	7	0.9999999998901186	Jacqueline Susan McKenzie is an Australian actress .	NNP NNP NNP VBZ DT JJ NN .	B-NP I-NP I-NP B-VP B-NP I-NP I-NP O	jacqueline susan mckenzie	be	an australian actress
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline McKenzie.txt	1575	McKenzie	made her film debut in	the 1987 film	0	1	1	6	6	9	0.8366099880580256	McKenzie made her film debut in the 1987 film Wordplay and on stage in Child Dancing for Griffin Theatre Company .	NNP VBD PRP$ NN NN IN DT CD NN NNP CC IN NN IN NN NN IN NNP NNP NNP .	B-NP B-VP B-NP I-NP I-NP B-PP B-NP I-NP I-NP B-NP B-PP B-PP B-NP B-PP B-NP I-NP B-PP B-NP I-NP I-NP O	mckenzie	make film debut in	the # film
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline McKenzie.txt	1576	She	made a strong impression in	Romper Stomper	0	1	1	6	6	8	0.8578645755432066	She made a strong impression in Romper Stomper , and over the next couple of years came to be regarded as one of Australia 's most promising young actresses .	PRP VBD DT JJ NN IN NNP NNP , CC IN DT JJ NN IN NNS VBD TO VB VBN IN CD IN NNP POS RBS JJ JJ NNS .	B-NP B-VP B-NP I-NP I-NP B-PP B-NP I-NP O O B-PP B-NP I-NP I-NP I-NP I-NP B-VP I-VP I-VP I-VP B-PP B-NP I-NP I-NP I-NP B-ADJP I-ADJP B-NP I-NP O	she	make impression in	romper stomper
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline McKenzie.txt	1576	the next couple of years	came to be regarded as	one of Australia 's	11	16	16	21	21	25	0.8637827992676588	She made a strong impression in Romper Stomper , and over the next couple of years came to be regarded as one of Australia 's most promising young actresses .	PRP VBD DT JJ NN IN NNP NNP , CC IN DT JJ NN IN NNS VBD TO VB VBN IN CD IN NNP POS RBS JJ JJ NNS .	B-NP B-VP B-NP I-NP I-NP B-PP B-NP I-NP O O B-PP B-NP I-NP I-NP I-NP I-NP B-VP I-VP I-VP I-VP B-PP B-NP I-NP I-NP I-NP B-ADJP I-ADJP B-NP I-NP O	the next couple of years	come to be regard as	# of australia 's
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline McKenzie.txt	1577	She	received	Australian Film Institute Award	0	1	1	2	2	6	0.6964513627126004	She received Australian Film Institute Award nominations for her roles in Stark , This Won't Hurt a Bit before winning two awards in 1995 for " Best Actress in a Television Drama " for Halifax f.p : " Lies of the Mind" , and Best Actress in a Leading Role " for Angel Baby .	PRP VBD JJ NNP NNP NNP NNS IN PRP$ NNS IN NNP , DT NNP NNP DT NN IN VBG CD NNS IN CD IN `` JJS NN IN DT NN NN '' IN NNP CC : `` NNS IN DT NNP , CC JJS NN IN DT JJ NNP '' IN NNP NNP .	B-NP B-VP B-NP I-NP I-NP I-NP B-VP B-PP B-NP I-NP B-PP B-NP O B-NP I-NP I-NP B-NP I-NP B-PP B-VP B-NP I-NP B-PP B-NP B-PP B-NP I-NP I-NP B-PP B-NP I-NP I-NP O B-PP B-NP I-NP O O B-NP I-NP I-NP I-NP O O B-NP I-NP B-PP B-NP I-NP I-NP O B-PP B-NP I-NP O	she	receive	australian film institute award
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline McKenzie.txt	1578	she	ventured to	the United States	3	4	4	6	6	9	0.3739740231633221	With this success she ventured to the United States and secured a Green Card , as a " Person of Extraordinary Ability" .	IN DT NN PRP VBD TO DT NNP NNPS CC VBN DT NNP NNP , IN DT `` NNP IN JJ NNP .	B-PP B-NP I-NP B-NP B-VP B-PP B-NP I-NP I-NP O B-VP B-NP I-NP I-NP O B-PP B-NP I-NP I-NP I-NP I-NP I-NP O	she	venture to	the united states
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline McKenzie.txt	1579	She	subsequently had acting roles in	films	0	1	1	6	6	7	0.69424963430751	She subsequently had acting roles in films such as Deep Blue Sea .	PRP RB VBD VBG NNS IN NNS JJ IN NNP NNP NNP .	B-NP B-ADVP B-VP I-VP B-NP B-PP B-NP B-PP I-PP B-NP I-NP I-NP O	she	act role in	films
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline McKenzie.txt	1580	she	began playing	the lead female role Diana Skouris	3	4	4	6	6	12	0.6434186964855985	In 2004 , she began playing the lead female role Diana Skouris in the science fiction television series The 4400 , one of the year 's biggest successes .	IN CD , PRP VBD VBG DT JJ JJ NN NNP NNP IN DT NN NN NN NN DT CD , CD IN DT NN POS JJS NNS .	B-PP B-NP O B-NP B-VP I-VP B-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O	she	begin play	the lead female role diana skouris
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline McKenzie.txt	1581	The show	ran for	four seasons	0	2	2	4	4	6	0.9176040643608462	The show ran for four seasons , ending in 2007 .	DT NN VBD IN CD NNS , VBG IN CD .	B-NP I-NP B-VP B-PP B-NP I-NP O B-VP B-PP B-NP O	the show	run for	# seasons
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline McKenzie.txt	1582	She	also played a lead role in	an episode of Two Twisted	0	1	1	7	7	12	0.8578645755432066	She also played a lead role in an episode of Two Twisted , an Australian television program .	PRP RB VBD DT JJ NN IN DT NN IN CD NNP , DT JJ NN NN .	B-NP B-ADVP B-VP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP O	she	play role in	an episode of # twisted
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline McKenzie.txt	1583	McKenzie	appeared on	television	0	1	1	3	3	4	0.9986155563107268	McKenzie appeared on television again in 2006 playing Linda Landry in " Umney 's Last Case" , the third episode of Nightmares and Dreamscapes on TNT.	NNP VBD IN NN RB IN CD VBG NNP NNP IN `` NNP POS JJ NNP , DT JJ NN IN NNP CC NNS IN NNP	B-NP B-VP B-PP B-NP B-ADVP B-PP B-NP B-VP B-NP I-NP B-PP O B-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP	mckenzie	appear on	television
