/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19840	Jacob Benjamin " Jake " Gyllenhaal	is	an American actor	0	6	6	7	7	10	0.9999999998901186	Jacob Benjamin " Jake " Gyllenhaal is an American actor .	NNP NNP `` NNP '' NNP VBZ DT JJ NN .	B-NP I-NP I-NP I-NP I-NP I-NP B-VP B-NP I-NP I-NP O	jacob benjamin jake gyllenhaal	be	an american actor
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19841	Gyllenhaal	began acting at	age ten	11	12	12	15	15	17	0.964249855245696	The son of director Stephen Gyllenhaal and screenwriter Naomi Foner , Gyllenhaal began acting at age ten .	DT NN IN NN NNP NNP CC NN NNP NNP , NNP VBD VBG IN NN CD .	B-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP O B-NP B-VP I-VP B-PP B-NP I-NP O	gyllenhaal	begin act at	age #
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19842	He	has appeared in	diverse roles	0	1	1	4	4	6	0.3887663667562114	He has appeared in diverse roles since his first lead role in 1999 's October Sky , followed by the 2001 indie cult hit Donnie Darko , in which he played a psychologically troubled teen and onscreen brother to his real-life sister , actress Maggie Gyllenhaal .	PRP VBZ VBN IN JJ NNS IN PRP$ JJ JJ NN IN CD POS NNP NN , VBN IN DT CD NN NN VBD NNP NNP , IN WDT PRP VBD DT RB VBN NN CC JJ NN TO PRP$ NN NN , NN NNP NNP .	B-NP B-VP I-VP B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-VP B-PP B-NP I-NP I-NP I-NP B-VP B-NP I-NP O B-PP B-NP B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP O B-NP I-NP I-NP O	he	appear in	diverse roles
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19842	the 2001 indie cult	hit	Donnie Darko	19	23	23	24	24	26	0.7495542499265709	He has appeared in diverse roles since his first lead role in 1999 's October Sky , followed by the 2001 indie cult hit Donnie Darko , in which he played a psychologically troubled teen and onscreen brother to his real-life sister , actress Maggie Gyllenhaal .	PRP VBZ VBN IN JJ NNS IN PRP$ JJ JJ NN IN CD POS NNP NN , VBN IN DT CD NN NN VBD NNP NNP , IN WDT PRP VBD DT RB VBN NN CC JJ NN TO PRP$ NN NN , NN NNP NNP .	B-NP B-VP I-VP B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-VP B-PP B-NP I-NP I-NP I-NP B-VP B-NP I-NP O B-PP B-NP B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP O B-NP I-NP I-NP O	the # indie cult	hit	donnie darko
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19842	he	played	a psychologically troubled teen and onscreen brother	29	30	30	31	31	38	0.001511630756404157	He has appeared in diverse roles since his first lead role in 1999 's October Sky , followed by the 2001 indie cult hit Donnie Darko , in which he played a psychologically troubled teen and onscreen brother to his real-life sister , actress Maggie Gyllenhaal .	PRP VBZ VBN IN JJ NNS IN PRP$ JJ JJ NN IN CD POS NNP NN , VBN IN DT CD NN NN VBD NNP NNP , IN WDT PRP VBD DT RB VBN NN CC JJ NN TO PRP$ NN NN , NN NNP NNP .	B-NP B-VP I-VP B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-VP B-PP B-NP I-NP I-NP I-NP B-VP B-NP I-NP O B-PP B-NP B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP O B-NP I-NP I-NP O	he	play	a psychologically troubled teen and onscreen brother
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19843	he	portrayed	a student	9	10	10	11	11	13	0.00858422010868025	In the 2004 science-fiction film The Day After Tomorrow he portrayed a student caught in a cataclysmic global cooling event , alongside Dennis Quaid as his father .	IN DT CD NN NN DT NN IN NN PRP VBD DT NN VBN IN DT JJ JJ NN NN , IN NNP NNP IN PRP$ NN .	B-PP B-NP I-NP I-NP I-NP B-NP I-NP B-PP B-NP B-NP B-VP B-NP I-NP B-VP B-PP B-NP I-NP I-NP I-NP I-NP O B-PP B-NP I-NP B-PP B-NP I-NP O	he	portray	a student
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19844	He	then played against	type	0	1	1	4	4	5	0.33581513542863184	He then played against type as a frustrated Marine in Jarhead .	PRP RB VBD IN NN IN DT JJ NNP IN NNP .	B-NP B-ADVP B-VP B-PP B-NP B-PP B-NP I-NP I-NP B-PP B-NP O	he	play against	type
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19845	he	garnered	critical acclaim	4	5	5	6	6	8	0.24104097246967074	The same year , he garnered critical acclaim and an Academy Award nomination for Best Supporting Actor as Jack Twist in the film Brokeback Mountain opposite Heath Ledger .	DT JJ NN , PRP VBD JJ NN CC DT NNP NNP NN IN JJS NN NNP IN NNP NNP IN DT NN NNP NNP IN NNP NNP .	B-NP I-NP I-NP O B-NP B-VP B-NP I-NP O B-NP I-NP I-NP I-NP B-NP I-NP I-NP I-NP B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP O	he	garner	critical acclaim
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19846	Gyllenhaal	has promoted	various political and social causes	0	1	1	3	3	8	0.9999999999122753	Gyllenhaal has promoted various political and social causes .	NNP VBZ VBN JJ JJ CC JJ NNS .	B-NP B-VP I-VP B-NP I-NP I-NP I-NP I-NP O	gyllenhaal	promote	various political and social causes
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19847	He	has appeared in	Rock	0	1	1	4	4	5	0.5065461445078785	He has appeared in Rock the Vote advertising , campaigned for the Democratic Party in the 2004 U.S. Presidential election , promoted environmental causes , and campaigned on behalf of the American Civil Liberties Union .	PRP VBZ VBN IN NNP DT NNP NN , VBD IN DT JJ NNP IN DT CD NNP JJ NN , VBN JJ NNS , CC VBD IN NN IN DT NNP NNP NNPS NNP .	B-NP B-VP I-VP B-PP B-NP B-NP I-NP I-NP O B-VP B-PP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP O B-VP B-NP I-NP O O B-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O	he	appear in	rock
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jake Gyllenhaal.txt	19847	Rock	campaigned for	the Democratic Party	4	5	9	11	11	14	0.8233962125116387	He has appeared in Rock the Vote advertising , campaigned for the Democratic Party in the 2004 U.S. Presidential election , promoted environmental causes , and campaigned on behalf of the American Civil Liberties Union .	PRP VBZ VBN IN NNP DT NNP NN , VBD IN DT JJ NNP IN DT CD NNP JJ NN , VBN JJ NNS , CC VBD IN NN IN DT NNP NNP NNPS NNP .	B-NP B-VP I-VP B-PP B-NP B-NP I-NP I-NP O B-VP B-PP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP O B-VP B-NP I-NP O O B-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O	rock	campaign for	the democratic party
