/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8423	Jacques Joseph Charles Villeneuve	is	a Canadian musician	0	4	6	7	7	10	0.843908541236736	Jacques Joseph Charles Villeneuve , , is a Canadian musician and former automobile racing driver .	NNP NNP NNP NNP , , VBZ DT JJ NN CC JJ NN VBG NN .	B-NP I-NP I-NP I-NP O O B-VP B-NP I-NP I-NP O B-NP I-NP I-NP I-NP O	jacques joseph charles villeneuve	be	a canadian musician
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8424	He	is the son of	the late Formula One driver Gilles Villeneuve	0	1	1	5	5	12	0.6979446844315045	He is the son of the late Formula One driver Gilles Villeneuve , and is the namesake of his uncle .	PRP VBZ DT NN IN DT JJ NNP CD NN NNP NNP , CC VBZ DT NN IN PRP$ NN .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O O B-VP B-NP I-NP I-NP I-NP I-NP O	he	be son of	the late formula # driver gilles villeneuve
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8424	He	is the namesake of	his uncle	0	1	14	18	18	20	0.38987871785413597	He is the son of the late Formula One driver Gilles Villeneuve , and is the namesake of his uncle .	PRP VBZ DT NN IN DT JJ NNP CD NN NNP NNP , CC VBZ DT NN IN PRP$ NN .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O O B-VP B-NP I-NP I-NP I-NP I-NP O	he	be namesake of	his uncle
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8425	Jacques Villeneuve	won	the 1995 CART Championship	0	2	2	3	3	7	0.9919527796720726	Jacques Villeneuve won the 1995 CART Championship , the 1995 Indianapolis 500 and the 1997 Formula One World Championship , making him only the third driver after Mario Andretti and Emerson Fittipaldi to achieve such a feat .	NNP NNP VBD DT CD NNP NNP , DT CD NNP CD CC DT CD NNP CD NNP NNP , VBG PRP RB DT JJ NN IN NNP NNP CC NNP NNP TO VB JJ DT NN .	B-NP I-NP B-VP B-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP O B-VP B-NP B-ADVP B-NP I-NP I-NP B-PP B-NP I-NP O B-NP I-NP B-VP I-VP B-NP I-NP I-NP O	jacques villeneuve	win	the # cart championship
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8426	no other Canadian	has won	the Indianapolis 500	3	6	6	8	8	11	0.923103182840361	To date , no other Canadian has won the Indianapolis 500 or the F1 Drivers ' title .	TO NN , DT JJ NNP VBZ VBN DT NNP CD CC DT NNP NNP POS NN .	B-PP B-NP O B-NP I-NP I-NP B-VP I-VP B-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP O	no other canadian	win	the indianapolis #
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8427	Villeneuve	moved into	Formula One	7	8	8	10	10	12	0.91360963514526	Following two successful years in CART , Villeneuve moved into Formula One with the front running Williams team , alongside Damon Hill .	VBG CD JJ NNS IN NNP , NNP VBD IN NNP CD IN DT NN VBG NNP NN , IN NNP NNP .	B-VP B-NP I-NP I-NP B-PP B-NP O B-NP B-VP B-PP B-NP I-NP B-PP B-NP I-NP B-VP B-NP I-NP O B-PP B-NP I-NP O	villeneuve	move into	formula #
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8428	Villeneuve	challenged	Hill	5	6	6	7	7	8	0.9059944442645228	In his debut season , Villeneuve challenged Hill for the title , winning four races and taking the fight to the final round in Japan , where the Canadian retired and Hill won the title .	IN PRP$ NN NN , NNP VBD NNP IN DT NN , VBG CD NNS CC VBG DT NN TO DT JJ NN IN NNP , WRB DT NNP VBD CC NNP VBD DT NN .	B-PP B-NP I-NP I-NP O B-NP B-VP B-NP B-PP B-NP I-NP O B-VP B-NP I-NP O B-VP B-NP I-NP B-PP B-NP I-NP I-NP B-PP B-NP O B-ADVP B-NP I-NP B-VP O B-NP B-VP B-NP I-NP O	villeneuve	challenge	hill
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8428	Hill	won	the title	31	32	32	33	33	35	0.7190992980600233	In his debut season , Villeneuve challenged Hill for the title , winning four races and taking the fight to the final round in Japan , where the Canadian retired and Hill won the title .	IN PRP$ NN NN , NNP VBD NNP IN DT NN , VBG CD NNS CC VBG DT NN TO DT JJ NN IN NNP , WRB DT NNP VBD CC NNP VBD DT NN .	B-PP B-NP I-NP I-NP O B-NP B-VP B-NP B-PP B-NP I-NP O B-VP B-NP I-NP O B-VP B-NP I-NP B-PP B-NP I-NP I-NP B-PP B-NP O B-ADVP B-NP I-NP B-VP O B-NP B-VP B-NP I-NP O	hill	win	the title
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8429	Villeneuve	did win	the following year 's title	0	1	4	6	6	11	0.5174374127630758	Villeneuve , however , did win the following year 's title , this time challenging Michael Schumacher and once again taking it to the final round in Jerez .	NNP , RB , VBD VB DT VBG NN POS NN , DT NN VBG NNP NNP CC RB RB VBG PRP TO DT JJ NN IN NNP .	B-NP O B-ADVP O B-VP I-VP B-NP I-NP I-NP I-NP I-NP O B-NP I-NP B-VP B-NP I-NP O B-VP I-VP I-VP B-NP B-PP B-NP I-NP I-NP B-PP B-NP O	villeneuve	win	the following year 's title
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8431	Villeneuve	would win	a championship level race	5	6	6	8	8	12	0.34260172191287674	The last year in which Villeneuve would win a championship level race and finish the season in the top three was 1997 .	DT JJ NN IN WDT NNP MD VB DT NN NN NN CC VB DT NN IN DT JJ CD VBD CD .	B-NP I-NP I-NP B-PP B-NP B-NP B-VP I-VP B-NP I-NP I-NP I-NP O B-VP B-NP I-NP B-PP B-NP I-NP I-NP B-VP B-NP O	villeneuve	win	a championship level race
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve.txt	8431	Villeneuve	finish the season in	the top three	5	6	13	17	17	20	0.0751597500210807	The last year in which Villeneuve would win a championship level race and finish the season in the top three was 1997 .	DT JJ NN IN WDT NNP MD VB DT NN NN NN CC VB DT NN IN DT JJ CD VBD CD .	B-NP I-NP I-NP B-PP B-NP B-NP B-VP I-VP B-NP I-NP I-NP I-NP O B-VP B-NP I-NP B-PP B-NP I-NP I-NP B-VP B-NP O	villeneuve	finish season in	the top #
