/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10500	Jade Cerisa Lorraine Goody	was	an English celebrity	0	4	4	5	5	8	0.9999999999144422	Jade Cerisa Lorraine Goody was an English celebrity .	NNP NNP NNP NNP VBD DT JJ NN .	B-NP I-NP I-NP I-NP B-VP B-NP I-NP I-NP O	jade cerisa lorraine goody	be	an english celebrity
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10501	She	came into	the public spotlight	0	1	1	3	3	6	0.28562955769322335	She came into the public spotlight while appearing on the third series of the then Channel 4 reality TV programme Big Brother in 2002 , an appearance which led to her own television programmes and the launch of her own products after her eviction from the show .	PRP VBD IN DT JJ NN IN VBG IN DT JJ NN IN DT RB NNP CD NN NN NN NNP NNP IN CD , DT NN WDT VBD TO PRP$ JJ NN NNS CC DT NN IN PRP$ JJ NNS IN PRP$ NN IN DT NN .	B-NP B-VP B-PP B-NP I-NP I-NP B-SBAR B-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP O B-NP I-NP B-NP B-VP B-PP B-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP B-PP B-NP I-NP O	she	come into	the public spotlight
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10501	an appearance	led to	her own television programmes	25	27	28	30	30	34	0.3518924825657182	She came into the public spotlight while appearing on the third series of the then Channel 4 reality TV programme Big Brother in 2002 , an appearance which led to her own television programmes and the launch of her own products after her eviction from the show .	PRP VBD IN DT JJ NN IN VBG IN DT JJ NN IN DT RB NNP CD NN NN NN NNP NNP IN CD , DT NN WDT VBD TO PRP$ JJ NN NNS CC DT NN IN PRP$ JJ NNS IN PRP$ NN IN DT NN .	B-NP B-VP B-PP B-NP I-NP I-NP B-SBAR B-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP O B-NP I-NP B-NP B-VP B-PP B-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP B-PP B-NP I-NP O	an appearance	lead to	her own television programmes
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10502	Goody	was voted by	the public	11	12	12	15	15	17	0.9159169064831841	In 2003 , following her public appearance in Big Brother , Goody was voted by the public as the fourth worst Briton in the British TV station Channel 4 's 100 Worst Britons as inspired by the BBC series 100 Greatest Britons .	IN CD , VBG PRP$ JJ NN IN NNP NNP , NNP VBD VBN IN DT JJ IN DT JJ JJS NNP IN DT JJ NN NN NNP CD POS CD NNP NNPS IN VBN IN DT NNP NN CD NNP NNPS .	B-PP B-NP O B-PP B-NP I-NP I-NP B-PP B-NP I-NP O B-NP B-VP I-VP B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O	goody	vote by	the public
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10503	she	was a housemate in	Celebrity Big Brother	4	5	5	9	9	12	0.6872813329368485	In January 2007 , she was a housemate in Celebrity Big Brother .	IN NNP CD , PRP VBD DT NN IN NNP NNP NNP .	B-PP B-NP I-NP O B-NP B-VP B-NP I-NP B-PP B-NP I-NP I-NP O	she	be housemate in	celebrity big brother
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10504	she	was accused of	racist bullying	3	4	4	7	7	9	0.098411561481008	During the show she was accused of racist bullying against Indian actress Shilpa Shetty .	IN DT NN PRP VBD VBN IN JJ NN IN NNP NN NNP NNP .	B-PP B-NP I-NP B-NP B-VP I-VP B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP O	she	accuse of	racist bullying
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10505	she	admitted	her actions	7	8	8	9	9	11	0.0035028712333159562	Following her eviction from the show , she admitted her actions had been wrong and she subsequently made many public apologies .	VBG PRP$ NN IN DT NN , PRP VBD PRP$ NNS VBD VBN JJ CC PRP RB VBD JJ JJ NNS .	B-VP B-NP I-NP B-PP B-NP I-NP O B-NP B-VP B-NP I-NP B-VP I-VP B-ADJP O B-NP B-ADVP B-VP B-NP I-NP I-NP O	she	admit	her actions
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10505	she	subsequently made	many public apologies	15	16	16	18	18	21	0.05805640764527167	Following her eviction from the show , she admitted her actions had been wrong and she subsequently made many public apologies .	VBG PRP$ NN IN DT NN , PRP VBD PRP$ NNS VBD VBN JJ CC PRP RB VBD JJ JJ NNS .	B-VP B-NP I-NP B-PP B-NP I-NP O B-NP B-VP B-NP I-NP B-VP I-VP B-ADJP O B-NP B-ADVP B-VP B-NP I-NP I-NP O	she	make	many public apologies
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10506	she	appeared on	the Indian version of Big Brother	4	5	5	7	7	13	0.992888695372225	In August 2008 , she appeared on the Indian version of Big Brother , Bigg Boss , but withdrew early from the show and returned to the UK after being told she had cervical cancer .	IN NNP CD , PRP VBD IN DT JJ NN IN NNP NNP , NNP NNP , CC VBD RB IN DT NN CC VBD TO DT NN IN VBG VBD PRP VBD JJ NN .	B-PP B-NP I-NP O B-NP B-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP O O B-VP B-ADVP B-PP B-NP I-NP O B-VP B-PP B-NP I-NP B-PP B-VP I-VP B-NP B-VP B-NP I-NP O	she	appear on	the indian version of big brother
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10506	Bigg Boss	withdrew early from	the show	14	16	18	21	21	23	0.7692736902558888	In August 2008 , she appeared on the Indian version of Big Brother , Bigg Boss , but withdrew early from the show and returned to the UK after being told she had cervical cancer .	IN NNP CD , PRP VBD IN DT JJ NN IN NNP NNP , NNP NNP , CC VBD RB IN DT NN CC VBD TO DT NN IN VBG VBD PRP VBD JJ NN .	B-PP B-NP I-NP O B-NP B-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP O O B-VP B-ADVP B-PP B-NP I-NP O B-VP B-PP B-NP I-NP B-PP B-VP I-VP B-NP B-VP B-NP I-NP O	bigg boss	withdraw from	the show
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jade Goody.txt	10506	Bigg Boss	returned to	the UK	14	16	24	26	26	28	0.5297745761245357	In August 2008 , she appeared on the Indian version of Big Brother , Bigg Boss , but withdrew early from the show and returned to the UK after being told she had cervical cancer .	IN NNP CD , PRP VBD IN DT JJ NN IN NNP NNP , NNP NNP , CC VBD RB IN DT NN CC VBD TO DT NN IN VBG VBD PRP VBD JJ NN .	B-PP B-NP I-NP O B-NP B-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP O O B-VP B-ADVP B-PP B-NP I-NP O B-VP B-PP B-NP I-NP B-PP B-VP I-VP B-NP B-VP B-NP I-NP O	bigg boss	return to	the uk
